filename,aspect_ratio,alt_text,status,bytes,delivered_path
pet-import-dubai-process-diagram.png,16:9,"Pet import process for Dubai: MOCCAE permit, health certificate, flight, customs clearance, release, home delivery",delivered,1202030,/workspace/website/public/assets/w5/pet-import-dubai-process-diagram.png
pet-import-document-folder-checklist-dubai.jpg,4:3,"Pet import document folder for Dubai: vaccination records, microchip certificate and itinerary",delivered,2538790,/workspace/website/public/assets/w5/pet-import-document-folder-checklist-dubai.jpg
moccae-import-permit-application-flowchart.png,16:9,MOCCAE pet import permit application flow from document collection to approval tracking,delivered,1365755,/workspace/website/public/assets/w5/moccae-import-permit-application-flowchart.png
moccae-permit-common-rejection-reasons-diagram.png,16:9,"Common MOCCAE pet permit rejection reasons: expired vaccines, microchip mismatches and timing errors",delivered,1422602,/workspace/website/public/assets/w5/moccae-permit-common-rejection-reasons-diagram.png
moccae-import-permit-guide-clipboard-illustration.png,16:9,Illustration of a MOCCAE pet import permit application with a validity clock,delivered,1333481,/workspace/website/public/assets/w5/moccae-import-permit-guide-clipboard-illustration.png
moccae-import-permit-application-steps-diagram.png,4:5,Step-by-step MOCCAE pet import permit application from account setup to permit issue,delivered,1461736,/workspace/website/public/assets/w5/moccae-import-permit-application-steps-diagram.png
moccae-permit-rejection-causes-and-fixes-diagram.png,16:9,MOCCAE pet permit rejection causes and how to fix each one,delivered,1469067,/workspace/website/public/assets/w5/moccae-permit-rejection-causes-and-fixes-diagram.png
uae-pet-import-requirements-master-checklist-illustration.png,16:9,"Master checklist of UAE pet import requirements: microchip, vaccinations, titer test, permit and health certificate",delivered,1366868,/workspace/website/public/assets/w5/uae-pet-import-requirements-master-checklist-illustration.png
uae-pet-import-step-by-step-timeline-diagram.png,16:9,Step-by-step UAE pet import timeline from vaccinations to arrival clearance,delivered,1539350,/workspace/website/public/assets/w5/uae-pet-import-step-by-step-timeline-diagram.png
vet-scanning-cat-microchip-uae-import-check.jpg,4:3,Vet scanning a cat's microchip during UAE pet import preparation,delivered,2387698,/workspace/website/public/assets/w5/vet-scanning-cat-microchip-uae-import-check.jpg
rabies-titer-test-rnatt-explained-diagram.png,16:9,"How the rabies titer test (RNATT) works: blood sample, accredited lab, 0.5 IU/ml pass threshold",delivered,1407320,/workspace/website/public/assets/w5/rabies-titer-test-rnatt-explained-diagram.png
rabies-titer-test-timeline-vaccination-to-travel.png,16:9,Rabies titer test timeline for Dubai pet travel from vaccination to the travel window,delivered,1154712,/workspace/website/public/assets/w5/rabies-titer-test-timeline-vaccination-to-travel.png
rabies-titer-test-blood-draw-calm-whippet-vet.jpg,4:3,Calm whippet having a blood sample taken for a rabies titer test at a Dubai vet clinic,delivered,2127675,/workspace/website/public/assets/w5/rabies-titer-test-blood-draw-calm-whippet-vet.jpg
