URL,Page Type,Primary Keyword,Secondary Keywords,Intent,Current Title,Recommended Title,Current H1,Recommended H1,Current Word Count,Recommended Content Depth,Index Status,Canonical,Internal Links In,Internal Links Out,Competing URLs,Quality Score,Freshness Score,Regulatory Risk,E-E-A-T Score,Conversion Score,Image Score,Schema,Action,Action Detail
https://dubai-pet-relocation.ae/,home,pet relocation Dubai,pet relocation UAE; pet relocation services Dubai; dog/cat relocation Dubai,commercial (category entry),"Pet Relocation Dubai — Transparent, Safe, Expert",Pet Relocation Dubai — Transparent Coordination for Dogs & Cats (2026),"Pet Relocation Dubai, Made Clear and Safe","Pet Relocation Dubai, Made Clear and Safe",10052,"~2,500-3,000 words (cut from 10,052 — move detail sections to hubs/service pages)",index,https://dubai-pet-relocation.ae/,80,80,"/service/pet-relocation-dubai/ (both target ""pet relocation Dubai"")",7,7,"High — homepage states titer ""90-day waiting period"" and permit-validity template; trust claims unverified (400+ pets, 4.9 stars, 0 errors, 15-min reply, 24/7, 50+ countries)",6,9,8,Organization | WebSite | LocalBusiness | BreadcrumbList | ItemList | FAQPage,REFRESH,Q7: comprehensive but bloated (10k words duplicating service/guide/local bodies) and repeats 90-day permit template; F7: 2026-dated; strip unverified trust bar claims until verified per trust-claims-register; implement homepage-ia.md structure; de-duplicate vs /service/pet-relocation-dubai/
https://dubai-pet-relocation.ae/service/pet-relocation-dubai/,service,pet relocation Dubai,pet relocation services Dubai; pet shipping Dubai; pet cargo Dubai; pet movers Dubai,commercial,Pet Relocation Dubai | Trusted Pet Transport Service,Pet Relocation Dubai | Door-to-Door Dog & Cat Relocation (2026),Comprehensive Pet Relocation Services in Dubai,"Pet Relocation in Dubai — Door-to-Door, Transparently Priced",892,"2,000-2,500 words (from 892)",index,https://dubai-pet-relocation.ae/service/pet-relocation-dubai/,80,44,/ (homepage); /dubai/ hub; /cities/dubai/ (until merged),5,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",6,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage | HowTo,EXPAND,"Q5: money head term (900/mo est.) served by only 892 words — thinnest money page vs Foufoufly depth-5; EXPAND per brief ruling 1; fold ""pet shipping/cargo Dubai"" secondaries (brief ruling 11); add cost table, route cards, verified trust signals"
https://dubai-pet-relocation.ae/service/pet-import-dubai/,service,pet import Dubai,pet import UAE; how to import a pet to UAE; MOCCAE import permit application,commercial,Pet Import Dubai | Bring Your Pet to the UAE,Pet Import Dubai | MOCCAE Permit & Customs Clearance (2026),Pet Import Services in Dubai,Pet Import Services in Dubai,2690,"keep ~2,700 words",index,https://dubai-pet-relocation.ae/service/pet-import-dubai/,80,44,"/guides/uae-pet-import-requirements/ (informational twin — cross-link, do not duplicate rules tables)",8,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",6,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage | HowTo,REFRESH,"Q8: 2,690 words, strong structure; REFRESH = fix 90-day permit-validity VETO (2 instances), verify AED 200 vs 500 fee conflict, keep commercial intent distinct from guide (brief ruling 5)"
https://dubai-pet-relocation.ae/service/pet-export-dubai/,service,pet export Dubai,pet export UAE; cost to export pet from Dubai; leaving Dubai with pets,commercial,Pet Export Dubai | Leave the UAE With Your Pet,Pet Export Dubai | MOCCAE Export Certificate & Flight Booking (2026),Pet Export Services from Dubai,Pet Export Services from Dubai,1821,"keep ~1,800-2,200 words",index,https://dubai-pet-relocation.ae/service/pet-export-dubai/,80,44,/service/pet-relocation-from-dubai/ (directional twin — keep departure-side commercial focus),7,7,Medium — fee/regulatory figures need first-party verification (see detail),6,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage | HowTo,REFRESH,"Q7: solid 1,821 words; REFRESH = verify export health certificate fee (first-party AED 100/personal consignment vs site ""300-700""), processing ""1 working day"", 30-day certificate validity; link new /guides/pet-export-from-dubai/"
https://dubai-pet-relocation.ae/service/pet-transport-dubai/,service,pet transport Dubai,pet taxi Dubai; pet transport UAE; pet transport Dubai to Abu Dhabi; MOCCAE approved pet transport Dubai,commercial/local,Pet Transport Dubai | Safe Animal Transport,Pet Transport Dubai | Local & Inter-Emirate Pet Transport (2026),Professional Pet Transport Services in Dubai,Pet Transport Services in Dubai and the UAE,1473,"1,800-2,200 words (from 1,473)",index,https://dubai-pet-relocation.ae/service/pet-transport-dubai/,80,44,/dubai/* local pages (transport sections — differentiate: service page owns emirate-wide + pet-taxi crossover),6,7,Medium — fee/regulatory figures need first-party verification (see detail),6,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage,EXPAND,"Q6: good base; EXPAND to capture ""pet taxi Dubai"" (170/mo, owned by Falcon Vet with AED price tables) — add transparent local AED pricing, district coverage table, airport-transfer rates; inter-emirate (DXB-AUH 50/mo cluster)"
https://dubai-pet-relocation.ae/service/international-pet-relocation/,service,international pet relocation Dubai,international pet relocation UAE; pet shipping Dubai; worldwide pet relocation,commercial,International Pet Relocation Dubai | Global Service,International Pet Relocation from Dubai | 50+ Countries (2026),Global Pet Relocation Services,International Pet Relocation Services from Dubai,1549,"2,000-2,500 words (from 1,549)",index,https://dubai-pet-relocation.ae/service/international-pet-relocation/,80,44,/service/pet-relocation-dubai/ (money head); /routes/* (route-specific intent),6,7,Medium — fee/regulatory figures need first-party verification (see detail),6,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage,EXPAND,"Q6: EXPAND per brief ruling 4; add ""pet shipping/cargo Dubai"" secondaries (ruling 11), airline-selection framework, link all 21 route pages; do not claim unverified country counts"
https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/,service,pet relocation to Dubai,moving to Dubai with pets; moving to Dubai with a dog; bringing pets to Dubai,commercial/informational (inbound directional),Pet Relocation to Dubai | Step-by-Step Import Guide,Pet Relocation to Dubai | Arrival-Side Import Guide (2026),Bringing Pets to Dubai from Anywhere,Bringing Pets to Dubai from Anywhere,2073,"keep ~2,100-2,400 words",index,https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/,80,44,/service/pet-import-dubai/; /cities/dubai/ (until merged); /dog-relocation-to-dubai/,7,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",6,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage | HowTo,REFRESH,"Q7: 2,073 words; REFRESH = fix 90-day permit-validity VETO; sharpen inbound-only focus (arrival, permit, settling in) per brief ruling 2 to deconflict from /service/pet-import-dubai/"
https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,service,pet relocation from Dubai,leaving Dubai with pets; pet export Dubai; moving pets out of UAE,commercial/informational (outbound directional),Pet Relocation from Dubai | Step-by-Step Export Guide,Pet Relocation from Dubai | Departure-Side Export Guide (2026),Moving Pets Out of Dubai,Moving Pets Out of Dubai,1721,"keep ~1,700-2,000 words",index,https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,80,44,"/service/pet-export-dubai/ (keep this page journey/informational, export page commercial)",7,7,Medium — fee/regulatory figures need first-party verification (see detail),6,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage | HowTo,REFRESH,"Q7: 1,721 words; REFRESH = verify export cert fee (AED 100 first-party vs 300-700 stated); departure-side differentiation per ruling 3; link outbound route pages"
https://dubai-pet-relocation.ae/service/dog-relocation-dubai/,service,dog relocation Dubai,dog relocation UAE; large dog relocation Dubai; dog transport Dubai,commercial (species),"Dog Relocation Dubai | Breed, Crate & Airline Rules","Dog Relocation Dubai | Breed Checks, Crates & Airline Rules (2026)",Dog Relocation Services in Dubai,Dog Relocation Services in Dubai,2276,"keep ~2,300 words",index,https://dubai-pet-relocation.ae/service/dog-relocation-dubai/,80,44,/dog-relocation-to-dubai/ (inbound directional twin — ruling 8); /guides/banned-dog-breeds-dubai/,8,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",7,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage,REFRESH,"Q8: 2,276 words, good unique sections; REFRESH = fix 90-day permit-validity VETO; verify breed-ban list against Federal Law 22/2016 Annex 2 + Decree 190/2021"
https://dubai-pet-relocation.ae/service/cat-relocation-dubai/,service,cat relocation Dubai,cat relocation UAE; cat transport Dubai; flying Persian cat to Dubai,commercial (species),"Cat Relocation Dubai | Calm, Safe Cat Travel","Cat Relocation Dubai | Calm, Safe Cat Travel (2026)",Cat Relocation Services in Dubai,Cat Relocation Services in Dubai,2215,"keep ~2,200 words",index,https://dubai-pet-relocation.ae/service/cat-relocation-dubai/,80,44,/cat-relocation-to-dubai/ (inbound twin — ruling 9),8,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",7,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage,REFRESH,"Q8: 2,215 words; REFRESH = fix 90-day permit-validity VETO; otherwise strong (sedation guidance, carrier acclimation)"
https://dubai-pet-relocation.ae/service/moccae-pet-permit/,service,MOCCAE pet permit,MOCCAE pet import permit; MOCCAE pet export permit; express MOCCAE permit,commercial (permit assistance),MOCCAE Pet Permit Dubai | Import & Export Permit Help,MOCCAE Pet Permit Service | Import & Export Permits (2026),MOCCAE Import and Export Permit Assistance,MOCCAE Import and Export Permit Assistance,2084,"keep ~2,100 words",index,https://dubai-pet-relocation.ae/service/moccae-pet-permit/,80,44,"/guides/moccae-import-permit/ (informational twin — ruling 10; guide is linkable asset, this is the service)",7,6,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",6,8,6,Organization | WebSite | BreadcrumbList | Service | FAQPage | HowTo,REFRESH,"Q7 but REGULATORY-BLOCKING: 90-day validity VETO appears twice (""Processing Time and Validity"" section); fee conflict AED 200 vs 500 must be verified on MOCCAE portal; fix before any rewrite; F6: regulatory date-sensitivity high"
https://dubai-pet-relocation.ae/dubai/,local-hub,pet relocation Dubai (community coverage),pet relocation Dubai Marina; pet relocation Palm Jumeirah; pet relocation JLT; Dubai communities pet transport,commercial/navigational (hub),"Pet Relocation Dubai | Every Community, Door-to-Door","Pet Relocation Dubai | Every Community Covered, Door-to-Door (2026)",Pet Relocation Across Every Community in Dubai,Pet Relocation Across Every Community in Dubai,523,"1,200-1,800 words (from 523) — community directory with unique 2-3-line blurbs per kept area + emirate-level rules absorbed from /cities/dubai/",index,https://dubai-pet-relocation.ae/dubai/,80,77,/cities/dubai/ (MERGE source); /service/pet-relocation-dubai/,5,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",5,8,5,Organization | WebSite | BreadcrumbList | LocalBusiness,EXPAND,"HUB GRADE A — 523 words is too thin for the hub that 40 community pages roll up to; EXPAND into a real directory (group communities: marina/coastal, villa suburbs, new developments, old Dubai); absorb Dubai Municipality/emirate-level content from /cities/dubai/ on merge; fix 90-day VETO claim"
https://dubai-pet-relocation.ae/dubai/dubai-marina/,local,pet relocation Dubai Marina,pet transport Dubai Marina; dog & cat transport Dubai Marina,commercial/local,Pet Relocation Dubai Marina | Dog & Cat Transport,Pet Relocation Dubai Marina | Dog & Cat Relocation (2026),Pet Relocation in Dubai Marina,Pet Relocation in Dubai Marina,985,"1,800-2,200 words of UNIQUE content (from ~985)",index,https://dubai-pet-relocation.ae/dubai/dubai-marina/,80,77,other /dubai/* pages (shared template ~50% on ND pairs); /service/pet-relocation-dubai/,5,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",5,7,5,Organization | WebSite | BreadcrumbList | LocalBusiness | FAQPage,EXPAND,"GRADE A (keep+strengthen). Q5: ~985 words, partially templated; expand with unique local utility: high-rise/tower access, lifts & lobby rules, marina promenade dog rules, DXB routing ~30 min; add verified nearby vets, pickup logistics, DXB/DWC routing, unique FAQs; fix 90-day VETO claim"
https://dubai-pet-relocation.ae/dubai/jlt/,local,pet relocation Jumeirah Lakes Towers (JLT),pet transport Jumeirah Lakes Towers (JLT); dog & cat transport Jumeirah Lakes Towers (JLT),commercial/local,Pet Relocation Jumeirah Lakes Towers (JLT) | Dog & Cat Transport,Pet Relocation Jumeirah Lakes Towers (JLT) | Dog & Cat Transport,Pet Relocation in Jumeirah Lakes Towers (JLT),Pet Relocation in Jumeirah Lakes Towers (JLT),1077,"1,800-2,200 words of UNIQUE content (from ~1077)",index,https://dubai-pet-relocation.ae/dubai/jlt/,41,77,other /dubai/* pages (shared template ~50% on ND pairs); /service/pet-relocation-dubai/,5,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",5,7,5,Organization | WebSite | BreadcrumbList | LocalBusiness | FAQPage,EXPAND,"GRADE A (keep+strengthen). Q5: ~1077 words, partially templated; expand with unique local utility: cluster-tower logistics, lakeside dog park proximity, DMCC community rules; add verified nearby vets, pickup logistics, DXB/DWC routing, unique FAQs; fix 90-day VETO claim"
https://dubai-pet-relocation.ae/dubai/jbr/,local,pet relocation JBR,pet transport JBR; dog & cat transport JBR,commercial/local,Pet Relocation JBR | Dog & Cat Transport,Pet Relocation JBR | Dog & Cat Relocation (2026),Pet Relocation in JBR,Pet Relocation in JBR,1563,"1,800-2,200 words of UNIQUE content (from ~1563)",index,https://dubai-pet-relocation.ae/dubai/jbr/,41,77,other /dubai/* pages (shared template ~50% on ND pairs); /service/pet-relocation-dubai/,6,7,"High — repeats VETO claim ""MOCCAE permit valid 90 days"" (first-party says 30 days; verify on MOCCAE portal then fix)",5,7,5,Organization | WebSite | BreadcrumbList | LocalBusiness | FAQPage,EXPAND,"GRADE A (keep+strengthen). Q6: ~1563 words, partially templated; expand with unique local utility: beachfront towers, The Walk pet rules, Bluewaters adjacency (absorbs bluewaters content on merge); add verified nearby vets, pickup logistics, DXB/DWC routing, unique FAQs; fix 90-day VETO claim"
